City,City Latitude,City Longitude,Max Temperature,Humidity,Cloud Coverage,Wind Speed,City Country,City DateTime
Pauini,-7.71,-66.98,99.18,38,87,1.68,BR,2020-11-13 10:54:11
Laguna de Duero,41.58,-4.72,55.99,93,90,9.17,ES,2020-11-13 10:54:14
Várzea da Palma,-17.6,-44.73,78.35,78,86,6.4,BR,2020-11-13 10:54:16
Amapá,1.0,-52.0,93.43,43,88,5.88,BR,2020-11-13 10:54:18
Denpasar,-8.65,115.22,84.2,83,20,10.29,ID,2020-11-13 10:50:55
Vilyuysk,63.76,121.62,12.47,97,80,3.65,RU,2020-11-13 10:54:22
Skagen,57.72,10.58,48.0,93,96,15.99,DK,2020-11-13 10:54:24
Kahului,20.89,-156.47,73.4,73,40,13.87,US,2020-11-13 10:49:44
Kumluca,36.37,30.29,66.27,64,12,2.86,TR,2020-11-13 10:54:29
San Vicente,-26.62,-54.13,88.7,29,5,4.21,AR,2020-11-13 10:54:31
Menongue,-14.66,17.69,71.65,70,92,5.91,AO,2020-11-13 10:54:33
Lupiro,-8.38,36.67,79.23,75,100,1.1,TZ,2020-11-13 10:54:35
Dicabisagan,17.08,122.42,78.12,84,0,5.55,PH,2020-11-13 10:54:38
Gizo Government Station,-8.1,156.84,82.18,70,62,1.59,SB,2020-11-13 10:54:40
Rostov,57.19,39.41,35.6,92,90,8.95,RU,2020-11-13 10:54:42
Mahina,-17.51,-149.49,78.8,74,20,4.7,PF,2020-11-13 10:54:44
Auki,-8.77,160.7,78.64,81,98,3.02,SB,2020-11-13 10:54:46
Valentín Gómez Farías,28.22,-106.58,66.99,24,1,3.0,MX,2020-11-13 10:54:49
Capaccio Paestum,40.42,15.08,64.4,72,40,1.79,IT,2020-11-13 10:54:51
Port Hedland,-20.32,118.57,80.6,51,0,12.75,AU,2020-11-13 10:54:53
Gornopravdinsk,60.05,69.9,18.7,96,92,6.15,RU,2020-11-13 10:54:55
Ngunguru,-35.62,174.5,52.0,94,3,5.68,NZ,2020-11-13 10:54:57
Rawlins,41.79,-107.24,35.01,37,1,8.05,US,2020-11-13 10:51:42
Milton,34.13,-84.3,66.99,46,0,1.99,US,2020-11-13 10:55:03
Merauke,-8.47,140.33,79.3,78,99,10.0,ID,2020-11-13 10:55:05
St. George's,12.06,-61.75,86.0,74,40,23.04,GD,2020-11-13 10:55:07
Caravelas,-17.71,-39.25,83.55,62,50,12.44,BR,2020-11-13 10:51:32
Breyten,-26.3,29.99,68.92,40,80,4.05,ZA,2020-11-13 10:55:12
Alekseyevka,50.63,38.69,32.88,88,46,0.94,RU,2020-11-13 10:55:14
Pachino,36.72,15.09,64.99,78,100,12.08,IT,2020-11-13 10:55:16
Ankazobe,-18.32,47.12,69.8,77,40,11.41,MG,2020-11-13 10:55:18
Miechów,50.36,20.03,48.0,81,75,5.82,PL,2020-11-13 10:55:20
Baykit,61.67,96.37,11.61,92,99,5.14,RU,2020-11-13 10:55:23
Manga,11.66,-1.07,89.37,15,68,7.52,BF,2020-11-13 10:55:25
Evanton,57.66,-4.34,46.4,70,20,16.11,GB,2020-11-13 10:55:27
Abhā,18.22,42.51,66.2,82,0,5.82,SA,2020-11-13 10:54:00
Emerald,-23.53,148.17,69.8,94,0,6.93,AU,2020-11-13 10:55:31
Camacupa,-12.02,17.48,70.81,76,99,3.49,AO,2020-11-13 10:55:34
Pemba,-12.97,40.52,82.4,78,75,13.87,MZ,2020-11-13 10:54:41
Basoko,1.24,23.62,78.89,72,84,2.01,CD,2020-11-13 10:55:38
Vardø,70.37,31.11,35.6,77,0,34.45,NO,2020-11-13 10:55:40
Mossamedes,-15.2,12.15,72.68,78,35,13.33,AO,2020-11-13 10:55:42
Liberal,37.04,-100.92,37.4,55,1,16.11,US,2020-11-13 10:55:44
Ballina,-28.87,153.57,69.8,77,7,5.82,AU,2020-11-13 10:55:47
Clyde River,70.47,-68.59,6.8,60,20,10.29,CA,2020-11-13 10:55:49
Dzhebariki-Khaya,62.22,135.8,14.67,96,100,2.24,RU,2020-11-13 10:55:51
Ōarai,36.32,140.6,46.4,93,40,1.12,JP,2020-11-13 10:55:53
Upata,8.01,-62.4,90.0,64,57,1.01,VE,2020-11-13 10:55:55
Anadyr,64.75,177.48,12.2,85,75,13.42,RU,2020-11-13 10:55:57
Bengkulu,-3.8,102.27,77.32,89,91,3.51,ID,2020-11-13 10:52:22
Dosso,13.05,3.19,85.91,17,3,8.05,NE,2020-11-13 10:56:02
Magadan,59.57,150.8,14.22,84,100,10.13,RU,2020-11-13 10:56:04
Kirakira,-10.45,161.92,79.47,79,99,3.71,SB,2020-11-13 10:56:06
Eureka,40.8,-124.16,51.8,76,90,18.34,US,2020-11-13 10:52:46
Teixoso,40.31,-7.46,61.0,24,100,5.01,PT,2020-11-13 10:52:05
Sur,22.57,59.53,74.66,60,0,7.23,OM,2020-11-13 10:56:13
Cabo San Lucas,22.89,-109.91,77.0,64,98,1.01,MX,2020-11-13 10:51:43
Lerwick,60.15,-1.15,50.0,76,20,24.16,GB,2020-11-13 10:56:17
Nabire,-3.37,135.48,77.14,88,51,3.29,ID,2020-11-13 10:56:19
Sola,-13.88,167.55,81.21,83,95,10.83,VU,2020-11-13 10:56:22
Laguna,38.42,-121.42,52.0,71,90,8.05,US,2020-11-13 10:56:24
San Felipe,10.34,-68.74,84.25,75,87,1.66,VE,2020-11-13 10:56:26
Aklavik,68.22,-135.01,-2.2,84,90,5.82,CA,2020-11-13 10:56:28
Mount Gambier,-37.83,140.77,51.8,93,90,4.7,AU,2020-11-13 10:56:30
Kalmunai,7.42,81.82,79.99,86,63,5.68,LK,2020-11-13 10:56:32
Krasnosel'kup,65.7,82.47,-15.68,88,9,7.0,RU,2020-11-13 10:56:35
Cap Malheureux,-19.98,57.61,75.99,77,3,1.99,MU,2020-11-13 10:56:37
Huarmey,-10.07,-78.15,71.67,62,100,13.13,PE,2020-11-13 10:56:39
Taraclia,45.9,28.67,47.46,72,100,7.65,MD,2020-11-13 10:56:41
Bandarbeyla,9.49,50.81,77.52,75,0,13.65,SO,2020-11-13 10:56:43
Senftenberg,51.52,14.02,48.0,77,60,1.99,DE,2020-11-13 10:56:46
Kemisē,10.72,39.87,64.38,45,1,1.63,ET,2020-11-13 10:56:48
Sabang,5.89,95.32,81.64,80,97,8.63,ID,2020-11-13 10:56:50
Husavik,66.04,-17.34,26.6,92,0,8.19,IS,2020-11-13 10:56:52
Pilar,-9.6,-35.96,84.2,66,40,16.11,BR,2020-11-13 10:56:54
Salavat,53.38,55.91,22.1,94,97,8.95,RU,2020-11-13 10:56:56
Aripuanã,-9.17,-60.63,95.11,40,92,3.04,BR,2020-11-13 10:56:59
Puqi,29.72,113.88,56.73,62,0,3.96,CN,2020-11-13 10:57:01
Bukama,-9.2,25.85,78.96,66,30,2.68,CD,2020-11-13 10:57:03
Abalak,58.13,68.59,20.23,98,99,4.27,RU,2020-11-13 10:57:05
São José da Coroa Grande,-8.9,-35.15,82.83,66,22,10.71,BR,2020-11-13 10:57:07
Tigil',57.8,158.67,14.47,94,80,5.28,RU,2020-11-13 10:57:10
Piaçabuçu,-10.41,-36.43,83.64,65,13,13.29,BR,2020-11-13 10:57:12
Santa Cruz de la Sierra,-17.8,-63.17,86.0,62,75,13.87,BO,2020-11-13 10:57:03
Broken Hill,-31.95,141.43,60.8,44,0,3.36,AU,2020-11-13 10:57:16
Yokadouma,3.52,15.05,77.74,65,57,1.9,CM,2020-11-13 10:57:18
Carutapera,-1.2,-46.02,87.46,62,52,10.71,BR,2020-11-13 10:57:21
Teguise,29.06,-13.56,71.6,83,20,8.05,ES,2020-11-13 10:57:23
Adelaide,-34.93,138.6,59.0,76,0,4.7,AU,2020-11-13 10:55:49
Lewiston,44.1,-70.21,42.01,64,90,4.7,US,2020-11-13 10:56:27
Neturhāt,23.48,84.27,60.1,89,2,1.5,IN,2020-11-13 10:57:29
Zeya,53.75,127.27,18.05,96,80,2.93,RU,2020-11-13 10:57:32
Gunnedah,-30.98,150.25,62.6,82,6,8.05,AU,2020-11-13 10:55:29
Puerto Carreño,6.19,-67.49,77.68,83,100,2.04,CO,2020-11-13 10:53:24
Bac Lieu,9.29,105.72,77.7,88,99,4.61,VN,2020-11-13 10:57:38
Adré,13.47,22.2,78.42,18,0,10.51,TD,2020-11-13 10:57:40
Luwuk,-0.95,122.79,79.3,79,48,0.85,ID,2020-11-13 10:57:43
Luorong,24.41,109.61,60.69,55,0,7.87,CN,2020-11-13 10:57:45
Betafo,-19.83,46.85,67.62,60,57,2.15,MG,2020-11-13 10:57:47
Beloha,-25.17,45.05,65.55,74,4,7.29,MG,2020-11-13 10:57:49
Nesebar,42.78,27.73,53.6,93,75,2.24,BG,2020-11-13 10:57:52
Nānākuli,21.39,-158.15,75.2,78,40,5.82,US,2020-11-13 10:57:54
Gao,16.64,1.64,83.82,14,0,11.12,ML,2020-11-13 10:57:56
Ruidoso,33.33,-105.67,54.0,41,1,11.23,US,2020-11-13 10:57:58
Taoudenni,22.68,-3.98,87.4,13,1,8.41,ML,2020-11-13 10:58:00
Kutulik,53.35,102.78,25.93,92,100,4.9,RU,2020-11-13 10:58:03
Petropavlovsk-Kamchatskiy,53.05,158.65,30.2,68,75,4.47,RU,2020-11-13 10:56:00
Mount Isa,-20.73,139.5,75.2,73,40,5.82,AU,2020-11-13 10:58:07
La Paz,-16.5,-68.15,60.8,18,40,8.05,BO,2020-11-13 10:56:05
Zhengjiatun,43.51,123.51,34.65,73,55,6.38,CN,2020-11-13 10:58:11
Rondonópolis,-16.47,-54.64,98.91,32,41,1.1,BR,2020-11-13 10:58:14
Dongsheng,39.82,109.98,44.38,68,99,18.19,CN,2020-11-13 10:58:16
Kovernino,57.13,43.81,32.47,97,98,6.96,RU,2020-11-13 10:58:18
Cortez,37.35,-108.59,46.99,51,1,4.7,US,2020-11-13 10:58:20
Zhezkazgan,47.8,67.71,25.12,92,85,7.36,KZ,2020-11-13 10:58:23
Alta Floresta,-9.88,-56.09,88.41,51,98,3.67,BR,2020-11-13 10:56:43
Mbumi,-7.91,39.21,75.85,87,9,3.8,TZ,2020-11-13 10:58:27
Gimbi,9.17,35.83,59.41,74,13,1.05,ET,2020-11-13 10:58:29
Isla Mujeres,21.23,-86.73,81.9,80,13,9.8,MX,2020-11-13 10:58:31
Hauterive,46.09,3.45,59.0,58,0,3.36,FR,2020-11-13 10:58:33
Talnakh,69.49,88.4,-20.2,75,40,4.47,RU,2020-11-13 10:58:36
Touros,-5.2,-35.46,86.0,58,40,14.99,BR,2020-11-13 10:58:38
Oruzgan,32.83,66.0,44.74,89,100,0.18,AF,2020-11-13 10:58:40
Bathsheba,13.22,-59.52,78.8,83,75,17.22,BB,2020-11-13 10:58:42
Āsosa,10.07,34.53,67.68,59,5,4.5,ET,2020-11-13 10:58:44
Syamzha,60.02,41.06,35.11,97,100,5.5,RU,2020-11-13 10:58:47
Marsá Maţrūḩ,31.35,27.25,68.0,68,40,11.41,EG,2020-11-13 10:58:49
Atambua,-9.11,124.89,76.05,80,2,2.28,ID,2020-11-13 10:58:51
Hessisch Oldendorf,52.17,9.25,51.8,76,75,13.87,DE,2020-11-13 10:58:53
Margate,51.38,1.39,51.01,66,63,12.44,GB,2020-11-13 10:58:55
Wasilla,61.58,-149.44,28.4,92,90,2.44,US,2020-11-13 10:58:58
Sinegor'ye,62.08,150.48,-6.72,82,100,0.67,RU,2020-11-13 10:59:00
Lavrentiya,65.58,-171.0,24.28,93,23,22.84,RU,2020-11-13 10:59:02
Thunder Bay,48.4,-89.32,27.0,68,75,9.17,CA,2020-11-13 10:58:17
Ciudad Sabinas Hidalgo,26.5,-100.17,76.78,73,94,5.1,MX,2020-11-13 10:59:06
Belmonte,-15.86,-38.88,84.2,74,20,14.99,BR,2020-11-13 10:59:09
Linhai,28.85,121.12,57.0,84,16,1.99,CN,2020-11-13 10:59:11
Coromandel,-18.47,-47.2,79.36,66,67,5.57,BR,2020-11-13 10:59:13
Warmbad,-28.45,18.73,84.16,18,28,23.76,NA,2020-11-13 10:59:15
Bereda,43.27,-7.54,59.0,73,5,1.99,ES,2020-11-13 10:59:17
Kichmengskiy Gorodok,59.98,45.79,32.52,97,100,4.25,RU,2020-11-13 10:59:20
Bulancak,40.94,38.23,55.4,82,0,5.82,TR,2020-11-13 10:59:22
Althofen,46.88,14.47,39.2,86,90,3.36,AT,2020-11-13 10:59:24
Øksfjord,70.24,22.35,44.6,74,0,18.34,NO,2020-11-13 10:59:26
Copiapó,-27.37,-70.33,64.4,59,75,9.17,CL,2020-11-13 10:59:15
Kailua,21.4,-157.74,75.2,73,40,11.41,US,2020-11-13 10:56:56
Tulum,20.22,-87.47,83.43,77,46,6.35,MX,2020-11-13 10:59:33
Vestmanna,62.16,-7.17,46.4,93,52,23.04,FO,2020-11-13 10:59:35
Lázaro Cárdenas,17.96,-102.2,85.28,60,1,1.68,MX,2020-11-13 10:59:37
Sakakah,29.97,40.21,68.0,42,0,4.7,SA,2020-11-13 10:59:40
North Bend,43.41,-124.22,55.0,100,90,19.46,US,2020-11-13 10:59:42
Naryan-Mar,67.67,53.09,14.67,96,54,8.52,RU,2020-11-13 10:59:44
Beibei,29.83,106.43,66.2,48,0,8.95,CN,2020-11-13 10:59:46
San Quintín,30.48,-115.95,64.44,61,0,8.46,MX,2020-11-13 10:59:48
Mabaruma,8.2,-59.78,83.35,87,51,4.16,GY,2020-11-13 10:59:51
Adelanto,34.58,-117.41,55.0,33,5,5.82,US,2020-11-13 10:59:53
Fort Nelson,58.81,-122.7,-2.2,77,75,2.24,CA,2020-11-13 10:58:59
Havre de Grace,39.55,-76.09,55.0,93,90,4.7,US,2020-11-13 10:59:57
Kloulklubed,7.04,134.26,78.8,88,75,11.18,PW,2020-11-13 10:59:59
Shingū,33.73,135.98,52.81,75,72,7.27,JP,2020-11-13 11:00:02
Tiquicheo,18.88,-100.73,91.58,39,33,1.97,MX,2020-11-13 11:00:09
Vostok,46.49,135.88,19.53,99,100,3.91,RU,2020-11-13 11:00:12
Taksony,47.33,19.07,46.99,81,90,2.24,HU,2020-11-13 11:00:14
Kaeo,-35.1,173.78,52.0,94,6,3.27,NZ,2020-11-13 11:00:16
Socorro,31.65,-106.3,61.0,30,20,10.29,US,2020-11-13 11:00:18
Chicama,-7.84,-79.15,68.0,72,75,11.41,PE,2020-11-13 11:00:21
Talara,-4.58,-81.27,77.0,53,0,19.46,PE,2020-11-13 11:00:23
Katangli,51.71,143.23,32.32,97,100,12.71,RU,2020-11-13 11:00:25
Shimoda,34.67,138.95,50.0,77,1,8.12,JP,2020-11-13 11:00:27
Abu Samrah,35.3,37.18,63.79,50,0,9.98,SY,2020-11-13 11:00:30
Ochakiv,46.61,31.55,46.0,75,0,8.95,UA,2020-11-13 11:00:32
Vicuña,-30.03,-70.71,72.0,32,100,3.0,CL,2020-11-13 11:00:34
Balikpapan,-1.27,116.83,77.47,88,34,2.3,ID,2020-11-13 11:00:37
Salalah,17.02,54.09,80.6,65,0,3.36,OM,2020-11-13 10:56:03
Hambantota,6.12,81.12,79.9,83,94,7.43,LK,2020-11-13 11:00:41
Shreveport,32.53,-93.75,71.01,63,1,5.82,US,2020-11-13 11:00:43
Micheweni,-4.97,39.83,79.5,80,67,8.16,TZ,2020-11-13 11:00:46
Port Macquarie,-31.43,152.92,60.8,93,40,5.37,AU,2020-11-13 11:00:48
Río Gallegos,-51.62,-69.22,59.0,22,40,16.11,AR,2020-11-13 11:00:50
Joué-lès-Tours,47.35,0.67,59.0,77,0,4.7,FR,2020-11-13 11:00:52
Kiama,-34.68,150.87,62.01,92,1,7.85,AU,2020-11-13 11:00:55
Atyrau,47.12,51.88,35.6,64,75,11.18,KZ,2020-11-13 11:00:57
Aasiaat,68.71,-52.87,14.52,96,100,6.85,GL,2020-11-13 11:00:59
Enshi,30.3,109.48,52.09,67,0,0.51,CN,2020-11-13 11:01:01
Cayenne,4.93,-52.33,86.0,74,97,11.41,GF,2020-11-13 10:59:51
Mayo,38.89,-76.51,55.99,87,90,4.7,US,2020-11-13 10:56:41
Lata,40.16,-8.33,66.0,71,100,4.63,PT,2020-11-13 11:01:08
Zhanakorgan,43.91,67.25,28.09,86,2,3.67,KZ,2020-11-13 11:01:10
Saint Anthony,45.02,-93.22,28.99,67,1,5.82,US,2020-11-13 11:01:13
Killin,33.61,-91.74,60.8,55,90,10.29,US,2020-11-13 11:01:15
Egvekinot,66.32,-179.17,7.81,92,92,15.5,RU,2020-11-13 11:01:17
Santa Lucía,27.91,-15.54,75.99,53,0,5.82,ES,2020-11-13 11:01:19
Olden,61.84,6.81,51.8,65,75,26.4,NO,2020-11-13 11:01:21
Syców,51.31,17.72,46.99,75,0,4.7,PL,2020-11-13 11:01:24
Hirtshals,57.59,9.96,46.0,95,85,5.01,DK,2020-11-13 11:01:26
Sterling,39.01,-77.43,55.99,66,75,5.82,US,2020-11-13 11:01:28
Boma,7.08,-2.17,84.2,51,78,1.81,GH,2020-11-13 11:01:30
Barão de Melgaço,-16.19,-55.97,93.2,41,40,3.36,BR,2020-11-13 11:01:33
Kanel,15.49,-13.18,100.4,17,0,6.93,SN,2020-11-13 10:59:38
Santa Isabel,-23.32,-46.22,82.4,54,75,6.93,BR,2020-11-13 11:01:37
Mata,40.68,-7.46,61.0,79,96,3.29,PT,2020-11-13 11:01:39
Bentiu,9.23,29.83,83.59,32,3,3.71,SS,2020-11-13 11:01:42
Port-Cartier,50.03,-66.87,41.0,60,63,3.36,CA,2020-11-13 11:01:44
Morehead,37.27,-87.18,53.6,53,1,11.41,US,2020-11-13 10:58:36
Istmina,5.16,-76.68,87.53,57,98,3.69,CO,2020-11-13 11:01:48
Port Hardy,50.7,-127.42,42.8,93,40,4.7,CA,2020-11-13 11:00:44
San Ramon,37.78,-121.98,51.01,76,1,3.36,US,2020-11-13 10:59:11
Pangnirtung,66.15,-65.71,14.0,72,75,5.82,CA,2020-11-13 11:01:55
"Leibnitz, Styria",46.78,15.54,43.0,84,0,1.01,AT,2020-11-13 11:01:57
Gōtsuchō,35.0,132.22,54.05,78,0,5.21,JP,2020-11-13 11:01:59
Charters Towers,-20.1,146.27,70.72,80,92,6.04,AU,2020-11-13 11:02:01
Bilibino,68.05,166.44,-10.32,87,92,1.07,RU,2020-11-13 11:02:03
Tete,-16.16,33.59,86.23,35,16,9.37,MZ,2020-11-13 11:02:06
Butembo,0.15,29.28,59.22,99,88,2.01,CD,2020-11-13 11:02:08
Camacha,33.08,-16.33,69.8,83,20,16.11,PT,2020-11-13 11:02:10
Coyhaique,-45.58,-72.07,53.6,71,75,5.82,CL,2020-11-13 11:02:12
Lingao,19.91,109.69,72.63,68,81,14.97,CN,2020-11-13 11:02:14
Chiredzi,-21.05,31.67,78.64,32,40,6.35,ZW,2020-11-13 11:02:16
San Jose,37.34,-121.89,52.0,69,86,5.06,US,2020-11-13 11:00:39
Lakatoro,-16.1,167.42,78.21,83,47,7.05,VU,2020-11-13 10:59:26
